id	nombre	no_Res_Vi	area_Res	región	categoría	cos_Adulto	cos_Ninos	alojamiento	camping
0	Colombia	--	1142000000	--	--	--	--	--	--
1	CAHUINARÍ	RESOLUCION 0190 DE 19/10/1987	575500	Amazonía	Parque Nacional	0	0	No	No
2	PLANTAS MEDICINALES ORITO INGI ANDE	RESOLUCION 0994 de 16/06/2008	10204.25	Amazonía	Santuario de Fauna	0	0	No	No
3	ALTO FRAGUA - INDIWASI	RESOLUCION 0198 DE 25/02/2002	68000	Amazonía	Parque Nacional	0	0	No	No
4	PUINAWAI	RESOLUCION 0123 DE 21/09/1989	1092500	Amazonía	Reserva Natural	0	0	No	No
5	SERRANIA DE LOS CHURUMBELOS	RESOLUCION 1311 DE 23/07/2007	97189.6	Amazonía	Parque Nacional	0	0	No	No
6	AMACAYACU	RESOLUCION 0010 DE 11/02/1988	293500	Amazonía	Parque Nacional	15000	8000	No	No
7	RÍO PURÉ	RESOLUCION 0764 DE 05/08/2002	999880	Amazonía	Parque Nacional	0	0	No	No
8	NUKAK	RESOLUCION 0122 DE 21/09/1989	855000	Amazonía	Reserva Natural	0	0	No	No
9	SERRANÍA DE CHIRIBIQUETE	RESOLUCION 0120 DE 21/09/1989	2763398.73	Amazonía	Parque Nacional	0	0	No	No
10	LA PAYA	RESOLUCION 0160 DE 24/08/1984	422000	Amazonía	Parque Nacional	0	0	No	No
11	YAIGOJE  APAPORIS	RESOLUCIÓN 2079 DE 27/10/2009	1056023	Amazonía	Parque Nacional	0	0	No	No
12	EL COCUY	RESOLUCION 0156 DE 06/06/1977	306000	Andes Nororientales	Parque Nacional	26000	12500	No	No
13	PISBA	RESOLUCION 0155 DE 06/06/1977	45000	Andes Nororientales	Parque Nacional	0	0	No	No
14	CATATUMBO - BARI	RESOLUCION 0121 DE 21/09/1989	158125	Andes Nororientales	Parque Nacional	0	0	No	No
15	LOS ESTORAQUES	RESOLUCION 0135 DE 24/08/1988	640.62	Andes Nororientales	Área Natural Única	3000	3000	No	No
16	TAMÁ	RESOLUCION 162 DE 06/06/1977	48000	Andes Nororientales	Parque Nacional	9000	4000	No	No
17	SERRANÍA DE LOS YARIGUÍES	RESOLUCION 0637 DE 18/04/2008	59063	Andes Nororientales	Parque Nacional	0	0	No	No
18	GUANENTÁ-ALTO RÍO FONCE	RESOLUCION 170 DE 18/11/1993	10429	Andes Nororientales	Santuario de Fauna y Flora	0	0	No	No
19	IGUAQUE	RESOLUCION 0173 DE 01/06/1977	6750	Andes Nororientales	Santuario de Fauna y Flora	15000	8000	No	No
20	OTÚN QUIMBAYA	RESOLUCION 0916 DE 23/08/1996	489	Andes Occidentales	Santuario de Fauna y Flora	5000	5000	No	No
21	LOS NEVADOS	RESOLUCION 0148 DE 30/04/1974	38000	Andes Occidentales	Parque Nacional	9000	4500	No	No
22	LAS ORQUÍDEAS	RESOLUCION  071 DE 22/04/1974	32000	Andes Occidentales	Parque Nacional	0	0	No	No
23	GALERAS	RESOLUCION 052  DE 22/03/1985	7615	Andes Occidentales	Santuario de Fauna y Flora	2000	2000	No	No
24	ISLA DE LA COROTA	RESOLUCION 171  DE  6/06/1977	8	Andes Occidentales	Santuario de Fauna y Flora	0	0	No	No
25	PURACÉ	RESOLUCION 160 DE 6/06/1977	83000	Andes Occidentales	Parque Nacional	9000	4000	Si	Si
26	CUEVA DE LOS GUACHAROS	RESOLUCION 397  DE 17/12/1995	9000	Andes Occidentales	Parque Nacional	12500	8000	Si	Si
27	NEVADO DEL HUILA	RESOLUCION 149 DE 6/06/1977	158000	Andes Occidentales	Parque Nacional	0	0	No	No
28	LAS HERMOSAS - GLORIA VALENCIA DE CASTAÑO	RESOLUCION 158 DE 6/06/1977	125000	Andes Occidentales	Parque Nacional	0	0	No	No
29	TATAMA	RESOLUCIÓN  190 DE  19/10/1987	51900	Andes Occidentales	Parque Nacional	0	0	No	No
30	COMPLEJO VOLCANICO DOÑA JUANA CASCABEL	RESOLUCION 0485 DE 21/03/2007	66004.6963	Andes Occidentales	Parque Nacional	0	0	No	No
31	SELVA DE FLORENCIA	RESOLUCION 0329 DE 10/03/2005	10019.8	Andes Occidentales	Parque Nacional	0	0	No	No
32	PARAMILLO	RESOLUCION 0163 DE 06/06/1977	460000	Caribe	Parque Nacional	0	0	No	No
33	MACUIRA	RESOLUCION 0166 DE 06/06/1977	25000	Caribe	Parque Nacional	12500	8000	No	No
34	LOS FLAMENCOS	RESOLUCION 0169 DE 06/06/1977	7000	Caribe	Santuario de Fauna y Flora	0	0	No	No
35	SIERRA NEVADA DE SANTA MARTA	RESOLUCION 0164 DE 06/06/1977	383000	Caribe	Parque Nacional	9000	4000	Si	No
36	OLD PROVIDENCE MC BEAN LAGOON	RESOLUCION 1021 DE 13/09/1995	995	Caribe	Parque Nacional	9000	4000	No	No
37	"EL CORCHAL ""EL MONO HERNANDEZ"""	RESOLUCION 0763 DE 05/08/2002	3850	Caribe	Santuario de Fauna y Flora	0	0	No	No
38	ISLA DE SALAMANCA	RESOLUCION 0283 DE 07/10/1985	56200	Caribe	Vía Parque	15000	8000	No	No
39	CIÉNAGA GRANDE DE SANTA MARTA	RESOLUCION 0168 DE 06/06/1977	26810	Caribe	Santuario de Fauna y Flora	0	0	No	No
40	TAYRONA	RESOLUCION 0021 DE 23/04/1975	15000	Caribe	Parque Nacional	15000	8000	No	No
41	LOS COLORADOS	RESOLUCION 0167 DE 06/06/1977	1000	Caribe	Santuario de Fauna y Flora	5000	5000	No	No
42	CORALES DE PROFUNDIDAD	RESOLUCION 0339 DE 12/04/2013	142192.15	Caribe	Parque Nacional	0	0	No	No
43	LOS CORALES DEL ROSARIO Y SAN BERNARDO	RESOLUCION 1425 DE 20/12/1996	120000	Caribe	Parque Nacional	0	0	No	No
44	ACANDI PLAYON Y PLAYONA	RESOLUCION 1847 DEL 19/12/2013	26232.71	Caribe	Santuario de Fauna	0	0	No	No
45	SUMAPAZ	RESOLUCION 0153 DE 06/06/1977	154000	Orinoquía	Parque Nacional	0	0	No	No
46	CHINGAZA	RESOLUCION 0550 DE 19/06/1998	76600	Orinoquía	Parque Nacional	12500	8000	Si	Si
47	EL TUPARRO	RESOLUCION 0264 DE 25/09/1980	548000	Orinoquía	Parque Nacional	0	0	No	No
48	CORDILLERA DE LOS PICACHOS	RESOLUCION 0048 DE 16/03/1988	444740	Orinoquía	Parque Nacional	0	0	No	No
49	TINIGUA	DECRETO 1989 DE 01/09/1989	201875	Orinoquía	Parque Nacional	0	0	No	No
50	SIERRA DE LA MACARENA	DECRETO 1989 DE 01/09/1989	630000	Orinoquía	Parque Nacional	0	0	No	No
51	MALPELO	RESOLUCION 1292 DE 31/10/1995	974474	Pacífico	Santuario de Fauna y Flora	0	0	No	No
52	SANQUIANGA	RESOLUCION 161 DE 6/06/1977	80000	Pacífico	Parque Nacional	0	0	No	No
53	UTRÍA	RESOLUCION 0190 DE 19/10/1987	54300	Pacífico	Parque Nacional	15000	8000	No	No
54	LOS KATIOS	ACUERDO 0026 DE 2/09/1982	72000	Pacífico	Parque Nacional	0	0	No	No
55	URAMBA BAHÍA MÁLAGA	RESOLUCIÓN 1501 DE 04/08/2010	47094	Pacífico	Parque Nacional	0	0	No	No
56	GORGONA	RESOLUCION 1265 DE 25/10/1995	61687.5	Pacífico	Parque Nacional	17500	10500	No	No
57	LOS FARALLONES DE CALI	RESOLUCION 092  DE 21/041978	150000	Pacífico	Parque Nacional	0	0	No	No
58	MUNCHIQUE	RESOLUCION 159 DE 6/061977	44000	Pacífico	Parque Nacional	0	0	No	No
