X,Y,Name,description,OBJECTID,Id,Nombre,No_Res_Vi,Area_Res,Región,Categoría,Cos_Adulto,Cos_Ninos,Alojamie,Camping,SHAPE_Leng,ShapeSTArea,ShapeSTLength
-72.1241593956714,6.5159925602535,,,1,1,EL COCUY,RESOLUCION 0156 DE 06/06/1977,306000,Andes Nororientales,Parque Nacional,26000,12500,No,No,4.92249877,3133832220.25586,549829.79203563
-72.5695841662944,5.87217127808983,,,2,2,PISBA,RESOLUCION 0155 DE 06/06/1977,45000,Andes Nororientales,Parque Nacional,,,No,No,1.64100913,373883200.554688,183179.822216798
-76.221864185923,7.55589337373819,,,3,3,PARAMILLO,RESOLUCION 0163 DE 06/06/1977,460000,Caribe,Parque Nacional,,,No,No,6.08704172,5451649762.9668,680975.575885798
-81.5666634328393,3.98333148143632,,,4,4,MALPELO,RESOLUCION 1292 DE 31/10/1995,974474,Pacífico,Santuario de Fauna y Flora,,,No,No,3.53332908,9689265764.87769,393815.696700187
-78.2698627868515,2.53136314315837,,,5,5,SANQUIANGA,RESOLUCION 161 DE 6/06/1977,80000,Pacífico,Parque Nacional,,,No,No,1.44017619,872680125.030518,160378.891472135
-75.575153705469,4.72266152664578,,,6,6,OTÚN QUIMBAYA,RESOLUCION 0916 DE 23/08/1996,489,Andes Occidentales,Santuario de Fauna y Flora,5000,5000,No,No,0.08913427,4637633.22558594,9937.4634756542
-71.3197737753178,12.1513257308554,,,7,9,MACUIRA,RESOLUCION 0166 DE 06/06/1977,25000,Caribe,Parque Nacional,12500,8000,No,No,0.82356214,281264573.249023,92546.3226588229
-73.1122530699432,11.3918151986922,,,8,10,LOS FLAMENCOS,RESOLUCION 0169 DE 06/06/1977,7000,Caribe,Santuario de Fauna y Flora,,,No,No,0.34278362,79576565.6865234,38512.7769700658
-75.4055421098155,4.78507052214127,,,9,11,LOS NEVADOS,RESOLUCION 0148 DE 30/04/1974,38000,Andes Occidentales,Parque Nacional,9000,4500,No,No,3.05076717,629598504.38916,340162.571184526
-77.2519728611401,6.0127866218257,,,10,12,UTRÍA,RESOLUCION 0190 DE 19/10/1987,54300,Pacífico,Parque Nacional,15000,8000,No,No,1.09359452,658030841.710449,122071.183989001
-74.1108102570905,3.93769737945464,,,11,13,SUMAPAZ,RESOLUCION 0153 DE 06/06/1977,154000,Orinoquía,Parque Nacional,,,No,No,6.45505882,2257122476.19287,719445.963758132
-71.1805524226051,-1.40555347448543,,,12,14,CAHUINARÍ,RESOLUCION 0190 DE 19/10/1987,575500,Amazonía,Parque Nacional,,,No,No,5.21048007,5627645164.19165,580111.858233343
-73.5677454995933,10.9454290681482,,,13,16,SIERRA NEVADA DE SANTA MARTA,RESOLUCION 0164 DE 06/06/1977,383000,Caribe,Parque Nacional,9000,4000,Si,No,9.69175827,4201473013.14062,1088102.67936538
-81.3428696644089,13.3733771414225,,,14,17,OLD PROVIDENCE MC BEAN LAGOON,RESOLUCION 1021 DE 13/09/1995,995,Caribe,Parque Nacional,9000,4000,No,No,0.12298381,10643081.0654297,13915.405686924
-75.5397020570915,10.0272080922472,,,15,18,"EL CORCHAL ""EL MONO HERNANDEZ""",RESOLUCION 0763 DE 05/08/2002,3850,Caribe,Santuario de Fauna y Flora,,,No,No,0.30282044,43715937.6552734,33933.9668352047
-74.4847051101623,10.9960016460589,,,16,19,ISLA DE SALAMANCA,RESOLUCION 0283 DE 07/10/1985,56200,Caribe,Vía Parque,15000,8000,No,No,1.74400309,601609343.505859,195737.783161381
-77.1954536109648,7.82156584867882,,,17,20,LOS KATIOS,ACUERDO 0026 DE 2/09/1982,72000,Pacífico,Parque Nacional,,,No,No,1.52044998,829575720.904785,169973.735599395
-76.2712809414293,6.58001056232845,,,18,21,LAS ORQUÍDEAS,RESOLUCION  071 DE 22/04/1974,32000,Andes Occidentales,Parque Nacional,,,No,No,1.30371212,296562995.077148,145564.627976057
-77.1056072570461,0.762228007164049,,,19,22,PLANTAS MEDICINALES ORITO INGI ANDE,RESOLUCION 0994 de 16/06/2008,10204.25,Amazonía,Santuario de Fauna,,,No,No,0.66568881,102748250.588074,74107.2051864142
-73.1817448273021,9.02784493654193,,,20,23,CATATUMBO - BARI,RESOLUCION 0121 DE 21/09/1989,158125,Andes Nororientales,Parque Nacional,,,No,No,2.86748317,1664112334.10693,321077.261187939
-76.1072212459605,1.38965834102246,,,35,41,ALTO FRAGUA - INDIWASI,RESOLUCION 0198 DE 25/02/2002,68000,Amazonía,Parque Nacional,,,No,No,3.09779014,765130454.11084,344894.391531297
-69.1405462925333,2.35685533575876,,,36,42,PUINAWAI,RESOLUCION 0123 DE 21/09/1989,1092500,Amazonía,Reserva Natural,,,No,No,7.05423506,11043882185.2375,785620.73092542
-73.2461175450827,8.2325876163524,,,21,24,LOS ESTORAQUES,RESOLUCION 0135 DE 24/08/1988,640.62,Andes Nororientales,Área Natural Única,3000,3000,No,No,0.12293423,6521907.70068359,13750.6662581296
-72.2194583051434,7.23653809779587,,,22,25,TAMÁ,RESOLUCION 162 DE 06/06/1977,48000,Andes Nororientales,Parque Nacional,9000,4000,No,No,1.56603506,526596589.623535,175023.453739817
-73.4267546706313,6.62261221416389,,,23,27,SERRANÍA DE LOS YARIGUÍES,RESOLUCION 0637 DE 18/04/2008,59063,Andes Nororientales,Parque Nacional,,,No,No,2.68096811,608788308.327637,299488.638031819
-73.1203118015317,6.02145019286691,,,24,28,GUANENTÁ-ALTO RÍO FONCE,RESOLUCION 170 DE 18/11/1993,10429,Andes Nororientales,Santuario de Fauna y Flora,,,No,No,0.45587526,104352978.742676,50865.0297803544
-77.3756002487033,1.20706933337928,,,25,29,GALERAS,RESOLUCION 052  DE 22/03/1985,7615,Andes Occidentales,Santuario de Fauna y Flora,2000,2000,No,No,0.59803964,82991572.6018066,66581.0844368524
